Version   Modules   Number_of_Alignment_Pattern   Row/Col   EC   Total_number_of_codewords   Remainder_Bits   Number_of_data_codewords   Number_of_data_bits   Numeric   Alphanumeric   Byte   Kanji   Number_of_EC_codewords   Value_of_p   Number_of_error_correction_blocks_1   Number_of_error_correction_blocks_1.1   Error_correction_per_block   
28   129   33   6,26,50,74,98,122   M   1921   3   1193   9544   2857   1732.0   1190.0   732.0   728   0   3   23   73,45,14;74,46,14   
28   129   33   6,26,50,74,98,122   Q   1921   3   871   6968   2085   1263.0   868.0   534.0   1050   0   4   31   54,24,15;55,25,15   
28   129   33   6,26,50,74,98,122   H   1921   3   661   5288   1581   958.0   658.0   405.0   1260   0   11   31   45,15,15;46,16,15   
29   133   33   6,30,54,78,102,126   L   2051   3   1631   13048   3909   2369.0   1628.0   1002.0   420   0   7   7   146,116,15;147,117,15   
29   133   33   6,30,54,78,102,126   M   2051   3   1267   10136   3035   1839.0   1264.0   778.0   784   0   21   7   73,45,14;74,46,14   
29   133   33   6,30,54,78,102,126   Q   2051   3   911   7288   2181   1322.0   908.0   559.0   1140   0   1   37   53,23,15;54,24,15   
29   133   33   6,30,54,78,102,126   H   2051   3   701   5608   1677   1016.0   698.0   430.0   1350   0   19   26   45,15,15;46,16,15   
30   137   33   6,26,52,78,104,130   L   2185   3   1735   13880   4158   2520.0   1732.0   1066.0   450   0   5   10   145,115,15;146,116,15   
30   137   33   6,26,52,78,104,130   M   2185   3   1373   10984   3289   1994.0   1370.0   843.0   812   0   19   10   75,47,14;76,48,14   
30   137   33   6,26,52,78,104,130   Q   2185   3   985   7880   2358   1429.0   982.0   604.0   1200   0   25   25   43,19,12;44,20,12   
30   137   33   6,26,52,78,104,130   H   2185   3   745   5960   1782   1080.0   742.0   457.0   1440   0   23   25   45,15,15;46,16,15   
31   141   33   6,30,56,82,108,134   L   2323   3   1843   14744   4417   2677.0   1840.0   1132.0   480   0   13   3   145,115,15;146,116,15   
31   141   33   6,30,56,82,108,134   M   2323   3   1455   11640   3486   2113.0   1452.0   894.0   868   0   2   29   74,46,14;75,47,14   
31   141   33   6,30,56,82,108,134   Q   2323   3   1033   8264   2473   1499.0   1030.0   634.0   1290   0   42   1   54,24,15;55,25,15   
31   141   33   6,30,56,82,108,134   H   2323   3   793   6344   1897   1150.0   790.0   486.0   1530   0   23   28   45,15,15;46,16,15   
32   145   33   6,34,60,86,112,138   L   2465   3   1955   15640   4686   2840.0   1952.0   1201.0   510   0   17   0   145,115,15   
32   145   33   6,34,60,86,112,138   M   2465   3   1541   12328   3693   2238.0   1538.0   947.0   924   0   10   23   74,46,14;75,47,14   
32   145   33   6,34,60,86,112,138   Q   2465   3   1115   8920   2670   1618.0   1112.0   684.0   1350   0   10   35   54,24,15;55,25,15   
32   145   33   6,34,60,86,112,138   H   2465   3   845   6760   2022   1226.0   842.0   518.0   1620   0   19   35   45,15,15;46,16,15   
33   149   33   6,30,58,86,114,142   L   2611   3   2071   16568   4965   3009.0   2068.0   1273.0   540   0   17   1   145,115,15;146,116,15   
33   149   33   6,30,58,86,114,142   M   2611   3   1631   13048   3909   2369.0   1628.0   1002.0   980   0   14   21   74,46,14;75,47,14   
33   149   33   6,30,58,86,114,142   Q   2611   3   1171   9368   2805   1700.0   1168.0   719.0   1440   0   29   19   54,24,15;55,25,15   
33   149   33   6,30,58,86,114,142   H   2611   3   901   7208   2157   1307.0   898.0   553.0   1710   0   11   46   45,15,15;46,16,15   
34   153   33   6,34,62,90,118,146   L   2761   3   2191   17528   5253   3183.0   2188.0   1347.0   570   0   13   6   145,115,15;146,116,15   
34   153   33   6,34,62,90,118,146   M   2761   3   1725   13800   4134   2506.0   1722.0   1060.0   1036   0   14   23   74,46,14;75,47,14   
